date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017-04-04,155097,145810,140743,137693,136832,139190,151974,174333,186959,192286,191851,191955,192958,191051,184951,180459,179000,176331,175000,174920,183255,196264,182405,166004.0
2017-04-05,154417,145975,139316,137127,136051,137853,150463,172995,185194,190652,191229,191015,191207,190289,183492,179113,177181,176386,174200,175121,183964,197100,181064,165632.0
2017-04-06,154664,145060,139192,136270,135241,137946,150857,172106,183558,188551,189834,189970,190111,189385,183477,180073,177335,176027,173124,172543,180614,193404,180289,164992.0
2017-04-07,154947,144661,139132,136558,135431,137819,150677,171182,181689,188279,189540,190005,191037,190869,184528,178226,176104,174452,170788,170292,174978,187032,175462,163229.0
2017-04-08,154211,145054,137412,134390,132176,131414,134004,139657,147394,161173,170143,171304,170201,168620,163923,156701,152059,149517,148483,149174,156114,171765,164535,153819.0
2017-04-09,143231,133449,127069,122589,120836,120271,122484,125294,127684,138462,147929,152857,151684,150957,148623,142379,137520,135187,136134,138253,146128,165103,163979,154278.0
2017-04-10,141768,133630,128745,126177,125878,129405,142997,160057,169724,180287,184473,185326,185864,185791,180808,175693,172379,172107,169632,168464,173274,187194,174555,160822.0
2017-04-11,150575,142354,136168,133693,132861,135043,146039,162049,170978,181355,184583,185950,186888,186531,180771,176186,174764,173147,170116,169086,174259,186421,174202,161032.0
2017-04-12,151173,143405,136500,134307,132776,134696,144596,158888,168138,177110,181034,182656,182110,181770,177379,172931,171112,169968,167641,165871,169184,180347,168085,156687.0
2017-04-13,147249,138709,131146,127091,125675,124695,127557,131225,132843,144065,151283,154073,154285,154332,152019,145132,141678,139244,138011,138596,144138,157156,151664,143105.0
2017-04-14,136082,128739,121790,117578,116106,115258,117482,118461,117908,128038,135980,139881,139377,139863,138267,131669,128811,127162,126155,127800,134438,148822,146794,139427.0
2017-04-15,132732,125049,119986,116661,114601,114723,117888,122015,127003,138256,147360,150211,150494,151352,149352,143471,138936,137210,136961,138930,143527,158471,152279,141571.0
2017-04-16,132675,124422,117236,114429,112640,112382,114036,113660,115176,125694,135064,138405,138853,139194,138923,132088,127861,126623,126119,128958,135995,153402,151465,141418.0
2017-04-17,131869,122266,117284,114731,114576,115751,123291,133075,139627,150961,155338,156968,157865,159312,156661,150300,148005,147882,147259,148857,154480,170129,163074,148544.0
2017-04-18,138660,131370,126905,125153,124709,127918,140522,157771,169554,178028,181623,183235,184699,185063,180048,175656,174562,174488,172993,172846,177940,189148,175997,161093.0
2017-04-19,151846,142894,137926,135901,135652,137298,148307,164876,175860,182463,186525,187995,189688,189642,182728,177215,176019,176164,173868,174324,180274,190123,176320,161217.0
2017-04-20,152619,144259,138596,136398,136382,138655,150783,166389,177509,184777,188083,188106,189136,188945,182600,178093,176414,175939,173364,172251,177621,191526,179718,163611.0
2017-04-21,154635,145644,139101,136857,135889,138728,150424,165854,178316,186643,188962,189239,189539,189143,181998,176486,174232,173125,170500,169725,172518,185147,175762,162413.0
2017-04-22,153807,145496,137736,134633,132937,132135,133954,136263,144376,158934,167475,170014,169950,169511,166115,157900,152874,150367,148511,149312,152978,169443,164483,153529.0
2017-04-23,144676,134881,128014,124101,121116,120157,121758,121286,123697,135690,144790,148744,149658,150977,150000,143286,138418,136700,136023,139564,146423,162479,160039,152138.0
2017-04-24,141727,132674,127505,124939,123562,126268,139061,153871,164463,173107,176142,178360,178961,178882,174665,170397,169115,168796,166329,166355,173435,184810,173783,158659.0
